year,district,A1101,A1102,A1414,A2101,A210102,B1101,B1103,C120110,D2201,D320101,D320108,D320113,D320115,D320122,D320406
2017,埼玉県第５区,605178,588639,518168,601483,301788,9786,9629,1111614280.6023564,0.98,109814714.69298172,2765240.9984773067,36234173.96148594,9379090.82697238,442746.12926705217,28784899.498313453
2017,埼玉県第６区,529055,522613,460013,528847,265462,17291,16824,793097645,0.8280000000000001,70470782,14087730,22249631,9405866,381685,14791278
2017,埼玉県第７区,569817,556349,493141,564444,282260,14354,14004,879783819,0.8566666666666667,87463400,8802111,29820665,10102811,513045,23810703
2017,埼玉県第８区,489812,479475,422178,488246,245158,10208,9374,803164958,0.9366666666666666,76053592,5437629,25272571,8782927,383878,19521856
2017,埼玉県第９区,487021,480919,428827,479824,239810,40867,19674,694454931,0.7733333333333333,67949388,12006933,21925587,8130678,313741,18432664
2017,大分県第１区,478146,471777,405578,476957,247834,50239,24855,637140787,0.89,77857300,9978022,33420945,10444681,315304,23318434
2017,大分県第２区,792243,783844,682779,796592,417034,440008,109388,939325568,0.405,111219682,83476997,59781514,25738400,416426,51381365
2017,大分県第３区,374095,366592,326135,369306,195093,194065,70505,385679159,0.38375000000000004,41917593,55198380,31589379,14699946,173528,20043487
2017,大阪府第10区,381812,377732,328698,381759,199041,12210,6286,573901922,0.7949999999999999,54728902,10931509,25056985,8463465,251779,13982232
2017,大阪府第11区,480587,468462,404510,478370,247867,9067,7534,698675199,0.755,65198551,14061876,30130807,11679266,339838,11687215
2017,大阪府第12区,416810,410884,364249,409883,210096,6166,5055,519357957,0.6799999999999999,52327932,20048113,32911387,12233139,262036,14454533
2017,大阪府第13区,502784,478933,430050,476959,244229,6178,5169,627136185,0.75,76010165,19820453,48064900,11796728,345058,17189326
2017,大阪府第14区,518033,506356,447417,508812,265147,10239,8776,675563797,0.64,67448646,26748873,39684342,12621263,366924,9830970
2017,大阪府第15区,473921,468812,413560,472283,246610,26786,14404,631146791.5614326,0.59375,56472541.96016774,28680535.13393507,32215751.125877433,11527445.190209813,288990.4836399157,13548823.853931557
2017,大阪府第16区,392239,383377,337642,386303,199938,4974,4974,532653568.63981956,0.8500000000000001,61519991.110658385,9197506.18180812,40022924.21802539,9640957.103843438,275402.8595904295,19451436.824356012
2017,大阪府第17区,407915,400926,348854,406211,211444,8689,8288,560103697.7987479,0.8500000000000001,64690403.92917387,9671496.684256809,42085492.65609718,10137800.70594675,289595.6567696548,20453860.321712434
2017,大阪府第18区,530744,523635,452904,529510,274289,18724,13375,685438802,0.6940000000000001,71545081,27701163,39822649,13852796,373811,13796085
2017,大阪府第19区,375164,371054,322311,374347,193663,25763,13731,452706528,0.7828571428571429,57986656,17965818,23498467,9573734,250543,9562589
2017,大阪府第１区,493592,430923,431413,462142,239364,3571,3571,668341810.3851991,0.93,118773394.02442884,5926252.510546839,66017614.21530158,12149922.499736162,291249.8388110282,18030509.621265464
2017,大阪府第２区,560725,515396,491501,524102,274093,3938,3938,757947296.5160137,0.93,134697502.83460757,6720793.161588039,74868684.61526543,13778878.963514945,330298.0967333364,20447884.315912582
2017,大阪府第３区,454251,433136,399172,435622,215858,4681,4681,629989042.5964773,0.93,111957587.60664415,5586174.749642827,62229196.090591446,11452699.68793156,274536.47857701266,16995829.555060793
2017,大阪府第４区,465575,430259,404293,450711,234474,2947,2947,651810494.8273983,0.93,115835555.2928415,5779667.710965627,64384680.2943528,11849396.332249798,284045.82595902856,17584528.17945605
2017,大阪府第５区,513877,492601,450269,493428,248877,5938,5938,713587085.3866302,0.93,126814092.34972343,6327446.810231716,70486861.93210709,12972445.6102233,310966.814236421,19251135.58473754
2017,大阪府第６区,469783,453950,402476,463476,238132,3950,3950,609890775.2882814,0.8225,90596653.89175451,15975233.057024952,58909183.85238166,12952993.906344239,287792.94568317314,20055832.74356757
2017,大阪府第７区,459475,451734,389708,449152,231619,5096,5058,781093561,0.98,84229311,1308864,29476761,9745080,333980,18247008
2017,大阪府第８区,395479,390645,339747,398937,208839,3639,3637,716722106,0.91,68048631,5130354,30313032,8946223,248406,13368333
2017,大阪府第９区,546703,535715,461204,544373,281544,27962,11750,912000418,0.74,88449181,9492794,33152175,13381948,372271,17715155
2017,奈良県第１区,478543,474466,414725,477274,252088,33009,17810,773166102,0.79,68332005,17735223,29078207,9394480,266674,14338046
2017,奈良県第２区,816712,808163,706719,817079,428748,61686,37797,1163993157,0.530625,104462507,53091844,46506307,18158778,494390,30998851
